course_code,course_name,professor,semester,course_description,credits,room_and_schedule,satisfies_core_requirement,prerequisites,corequisites,cross_listed_with,student_level
ARTH2251.01,Modern Architecture,"Orwig, Timothy T",Spring 2026,"This course is an overview of the history of architecture in the M odern era, from its eighteenth- and nineteenth-century roots until the present day. Students will examine architecture, urban design, landscape design, and other allied fields such as art history, interior design, and engineering. The course will consider vernacular and commercial design as well as the roles of architects, artists, and patrons. Important issues include the effects of the Industrial Revolution and the rise of the skyscraper, national and international stylistic trends and movements, manufacturers, international exhibitions, and public and critical reaction. Satisfies Core requirement for Arts.",3,Devlin Hall 018 M W 12:00 Noon-01:15PM,Arts,None,None,None,Undergraduate
ARTH2267.01,Saltbox to Skyscraper: American Architecture,"Orwig, Timothy T",Spring 2026,"This course examines the history of buildings, landscapes, and urban growth in the United States, from early Native American and European contact to the present.Themes studied include typology, materials and technology, style and movements, the emergence of the architectural profession, and specific social contexts such as culture, gender, race, class, and ethnicity. Students will examine how the built environment is linked to climate, geography, and imaginations of the natural world, and influenced by politics, religion, economy, internationalism, and the definition of national and regional identity. Finally, because of the important role of Boston in American architectural history, the course will use Boston as a lens to understand American architectural history. Satisfies Core requirement for Arts.",3,Devlin Hall 018 M W 09:00AM -10:15AM,Arts,None,None,None,Undergraduate
ARTH2278.01,Introduction to Caribbean Art,"Brown, Justin M",Spring 2026,"This course offers a survey of Caribbean art from the precolonial period to the modern day. It traces the regions artistic developments across a period of over 500 years, from the art of the earliest inhabitants; through the artistic expressions of enslaved Africans; to the modern art movements of the 20th century. While serving as an introduction to the diverse artistic traditions of the Caribbean, this course also introduces fundamental methods in art history: close looking, formal analysis, visual description, and critical interpretation.",3,Stokes Hall 105S TuTh 01:30PM -02:45PM,"Cultural Diversity,Arts",None,None,AADS2278,Undergraduate
ARTH3012.01,After Genghis Khan: Art and Architecture in Iran and Central Asia,"Fetvaci, Emine F",Spring 2026,"This course will examine the M ongol invasions of the thirteenth century and their effects on artistic production in Iran and Central Asia up to the early sixteenth century. Students will learn about the art and architecture of the Ilkhanid and Timurid dynasties, two of the most innovative and dynamic artistic traditions of the Islamic world, and heirs to the traditions of Genghis Khan's M ongol Empire. We will explore the use of art and architecture in the promotion of ideology and empire formation, cultural exchange across the Asian continent, the interaction between nomadic and sedentary populations and the merging of Turko-M ongolian and Persian cultural identities.",3,Devlin Hall 227 TuTh 01:30PM -02:45PM,Arts,None,None,None,Undergraduate
ARTS1101.01,Drawing I: Foundations,"Saddington, Amelia",Spring 2026,"The use of line, plane, and volume is explored to develop the student's comprehension of pictorial space and understanding of the formal properties inherent in picture making. Class work, critiques, and discussions will be used to expand the student's preconceived ideas about art. This course incorporates historical components and writing assignments.",3,Devlin Hall 425 F 09:00AM -12:00 Noon,Arts,None,None,None,Undergraduate
ARTS1101.02,Drawing I: Foundations,"Lauriat, Michele J",Spring 2026,"The use of line, plane, and volume is explored to develop the student's comprehension of pictorial space and understanding of the formal properties inherent in picture making. Class work, critiques, and discussions will be used to expand the student's preconceived ideas about art. This course incorporates historical components and writing assignments.",3,Devlin Hall 425 Th 09:00AM -12:00 Noon,Arts,None,None,None,Undergraduate
ARTS1101.03,Drawing I: Foundations,"Ivy, Candice M",Spring 2026,"The use of line, plane, and volume is explored to develop the student's comprehension of pictorial space and understanding of the formal properties inherent in picture making. Class work, critiques, and discussions will be used to expand the student's preconceived ideas about art. This course incorporates historical components and writing assignments.",3,Devlin Hall 425 M  02:00PM -05:00PM,Arts,None,None,None,Undergraduate
ARTS1101.04,Drawing I: Foundations,"Lauriat, Michele J",Spring 2026,"The use of line, plane, and volume is explored to develop the student's comprehension of pictorial space and understanding of the formal properties inherent in picture making. Class work, critiques, and discussions will be used to expand the student's preconceived ideas about art. This course incorporates historical components and writing assignments.",3,Devlin Hall 425 W 06:00PM -09:00PM,Arts,None,None,None,Undergraduate
ARTS1102.01,Painting I: Foundations,"Murray, Meghan",Spring 2026,"This is an introduction to the materials, methods and vocabulary of painting. The course uses observation and learning to see as the cornerstone for painting, but involves expression and abstraction as well as representation. The emphasis is on making the painting come alive rather than on copying. Students are expected to paint in the studio during class and to complete outside assignments. Critiques, slide lectures, and museum visits are integral parts of the course. This course incorporates historical components and writing assignments.",3,By Arrangement;Devlin Hall 406 M  09:00AM -12:00 Noon,Arts,None,None,None,Undergraduate
ARTS1102.02,Painting I: Foundations,"Kodi, Khalid I",Spring 2026,"This is an introduction to the materials, methods and vocabulary of painting. The course uses observation and learning to see as the cornerstone for painting, but involves expression and abstraction as well as representation. The emphasis is on making the painting come alive rather than on copying. Students are expected to paint in the studio during class and to complete outside assignments. Critiques, slide lectures, and museum visits are integral parts of the course. This course incorporates historical components and writing assignments.",3,Devlin Hall 406 W 06:00PM -09:00PM,Arts,None,None,None,Undergraduate
ARTS1102.03,Painting I: Foundations,"Lacey, Sharon",Spring 2026,"This is an introduction to the materials, methods and vocabulary of painting. The course uses observation and learning to see as the cornerstone for painting, but involves expression and abstraction as well as representation. The emphasis is on making the painting come alive rather than on copying. Students are expected to paint in the studio during class and to complete outside assignments. Critiques, slide lectures, and museum visits are integral parts of the course. This course incorporates historical components and writing assignments.",3,Devlin Hall 406 Tu 02:00PM -05:00PM,Arts,None,None,None,Undergraduate
ARTS1102.04,Painting I: Foundations,"Kodi, Khalid I",Spring 2026,"This is an introduction to the materials, methods and vocabulary of painting. The course uses observation and learning to see as the cornerstone for painting, but involves expression and abstraction as well as representation. The emphasis is on making the painting come alive rather than on copying. Students are expected to paint in the studio during class and to complete outside assignments. Critiques, slide lectures, and museum visits are integral parts of the course. This course incorporates historical components and writing assignments.",3,Devlin Hall 406 Tu 06:00PM -09:00PM,Arts,None,None,None,Undergraduate
ARTS1104.01,Design: Seeing Is Believing,"Weisberg, Debra",Spring 2026,"Seeing is Believing is a hands-on class that will help open the door to the mystery behind effective and engaging visual decision making. Do you find yourself using ambiguous gut feelings to make something that looks ""good"" without applying meaningful criteria? Using a variety of approaches and materials including photography, charcoal, and collage, assignments, exercises, and field trips are designed to strengthen visual acuity and the ability to communicate dynamically and creatively. This class is designed for both advanced and entry-level students with 2-D and 3-D assignments providing enough flexibility to meet each student at whatever level they are.",3,Devlin Hall 425 W 02:00PM -05:00PM,Arts,None,None,None,Undergraduate
ARTS2261.01,Intermediate Photography: Image & Context,"Muldowney, Greer R",Spring 2026,"This course will emphasize the development of a personal photographic vision by deepening a students understanding of both aesthetics, technical prowess and expanding their study of image culture. Through photographic production, critiquing work, theoretical readings and a deep examination of the history of the photographic medium, students will develop both a visual literacy and artistic voice. Students are expected to produce work in series and to present a final portfolio, in addition to an extensive research project based on their photographic interests. This course requires additional work outside of class time. Students can work in any photographic medium. (ARTS1163), or with permission of the instructor after portfolio review",3,Devlin Hall 9 Th 02:00PM -05:00PM,Arts,"Prerequisites: Photography I (ARTS1161), Intro to Digital Photography",None,None,Undergraduate
CLAS1131.01,History of Ballet,"Sapsford, Thomas D",Spring 2026,"This course charts the development of Ballet as an artform from the 16th to the 21st centuries by looking at Ballet's origins in Greco-Roman culture, its place in the court entertainments of the French royalty, and its transformation into a standalone theatrical medium. In addition, students will learn to relate Ballet's various styles and artistic conventions to the specific cultural contexts that produced them, be that Romanticism and M odernism in 19th and 20th century France, Classicism and Communism in Imperial and later, Soviet Russia, or as a bodily expression of the American dream in the works of Balanchine, Robbins, and Tharp. As well as encountering the history, aesthetics, and cultural contexts of Ballet, students will gain experience of looking at and writing about dance in a critical and dynamic manner.",3,Gasson Hall 210 TuTh 03:00PM -04:15PM,Arts,None,None,THTR1131,Undergraduate
CLAS2208.01,Art and Myth in Ancient Greece,"Hoffman, Gail L",Spring 2026,"An introduction to the visual representation of the Greek gods and godesses and to the artistic depiction of the primary cycles of Greek legends (e.g., the Trojan War and heroes such as Herakles, Perseus, and Theseus). This course focuses on how specific visual attributes serve to identify mythological characters and how the development of narrative in Greek art helped to relate their stories. Inquiring into the use of mythological imagery to decorate temples, cult statues, and vases used primarily for the symposium (male drinking parties), we will consider the functions of mythological imagery within Greek society.",3,Stokes Hall 209S M WF 01:00PM -01:50PM,Arts,None,None,ARTH2206,Undergraduate
GERM2011.01,Deutscher Film,"Block, Nicholas",Spring 2026,"Conducted in German.An introduction to German culture from the Weimar Republic to the present through the medium of film. The Weimar Republic, the Nazi period, Occupied Germany, East and West Germany, and today's Berlin Republic will be examined through short films, authorial films, and cinematic films, including those directed by Fritz Lang, Leni Riefenstahl, Werner Herzog, and Fatih Akin, among others. The German cinema will be the subject of discussion while focusing on writing and grammar review.",3,Stokes Hall 301N M WF 11:00AM -11:50AM,Arts,GERM 1051 or equivalent,None,None,Undergraduate
MUSA1100.01,Fundamentals of Music Theory,"Gawlick, Barbara S",Spring 2026,"An introductory music theory course designed for students with a strong interest in music. As a Core course it includes speculations on how musical discourse informs our perception and understanding of the world around us. Students learn to acquire skills in music notation and transcription. The following theoretical concepts will be extensively covered: notation of pitch and rhythm, scales, intervals, chords, and harmonic progression. Students leave the course prepared for upper-level study in music theory and will begin to question broader issues concerning the meaning and use of music. Training in Keyboard Skills is required in the accompanying Lab",3,Lyons Hall 409 M WF 10:00AM -10:50AM,Arts,None,None,None,Undergraduate
MUSA1100.02,Fundamentals of Music Theory,"Gawlick, Barbara S",Spring 2026,"An introductory music theory course designed for students with a strong interest in music. As a Core course it includes speculations on how musical discourse informs our perception and understanding of the world around us. Students learn to acquire skills in music notation and transcription. The following theoretical concepts will be extensively covered: notation of pitch and rhythm, scales, intervals, chords, and harmonic progression. Students leave the course prepared for upper-level study in music theory and will begin to question broader issues concerning the meaning and use of music. Training in Keyboard Skills is required in the accompanying Lab",3,Lyons Hall 409 M WF 12:00 Noon-12:50PM,Arts,None,None,None,Undergraduate
MUSA1100.03,Fundamentals of Music Theory,"Lee, Thomas O",Spring 2026,"An introductory music theory course designed for students with a strong interest in music. As a Core course it includes speculations on how musical discourse informs our perception and understanding of the world around us. Students learn to acquire skills in music notation and transcription. The following theoretical concepts will be extensively covered: notation of pitch and rhythm, scales, intervals, chords, and harmonic progression. Students leave the course prepared for upper-level study in music theory and will begin to question broader issues concerning the meaning and use of music. Training in Keyboard Skills is required in the accompanying Lab",3,Lyons Hall 409 M WF 02:00PM -02:50PM,Arts,None,None,None,Undergraduate
MUSA1100.04,Fundamentals of Music Theory,"McGee, Randy",Spring 2026,"An introductory music theory course designed for students with a strong interest in music. As a Core course it includes speculations on how musical discourse informs our perception and understanding of the world around us. Students learn to acquire skills in music notation and transcription. The following theoretical concepts will be extensively covered: notation of pitch and rhythm, scales, intervals, chords, and harmonic progression. Students leave the course prepared for upper-level study in music theory and will begin to question broader issues concerning the meaning and use of music. Training in Keyboard Skills is required in the accompanying Lab",3,Lyons Hall 409 M W 03:00PM -04:15PM,Arts,None,None,None,Undergraduate
MUSA1100.05,Fundamentals of Music Theory,"Kosch, Leah F",Spring 2026,"An introductory music theory course designed for students with a strong interest in music. As a Core course it includes speculations on how musical discourse informs our perception and understanding of the world around us. Students learn to acquire skills in music notation and transcription. The following theoretical concepts will be extensively covered: notation of pitch and rhythm, scales, intervals, chords, and harmonic progression. Students leave the course prepared for upper-level study in music theory and will begin to question broader issues concerning the meaning and use of music. Training in Keyboard Skills is required in the accompanying Lab",3,Lyons Hall 409 TuTh 09:00AM -10:15AM,Arts,None,None,None,Undergraduate
MUSA1100.06,Fundamentals of Music Theory,"Kosch, Leah F",Spring 2026,"An introductory music theory course designed for students with a strong interest in music. As a Core course it includes speculations on how musical discourse informs our perception and understanding of the world around us. Students learn to acquire skills in music notation and transcription. The following theoretical concepts will be extensively covered: notation of pitch and rhythm, scales, intervals, chords, and harmonic progression. Students leave the course prepared for upper-level study in music theory and will begin to question broader issues concerning the meaning and use of music. Training in Keyboard Skills is required in the accompanying Lab",3,Devlin Hall 112 TuTh 12:00 Noon-01:15PM,Arts,None,None,None,Undergraduate
MUSA1100.07,Fundamentals of Music Theory,"Pietilainen-Caffrey, Riikka",Spring 2026,"An introductory music theory course designed for students with a strong interest in music. As a Core course it includes speculations on how musical discourse informs our perception and understanding of the world around us. Students learn to acquire skills in music notation and transcription. The following theoretical concepts will be extensively covered: notation of pitch and rhythm, scales, intervals, chords, and harmonic progression. Students leave the course prepared for upper-level study in music theory and will begin to question broader issues concerning the meaning and use of music. Training in Keyboard Skills is required in the accompanying Lab",3,Lyons Hall 409 TuTh 01:30PM -02:45PM,Arts,None,None,None,Undergraduate
MUSA1200.01,Introduction to Music,"Restrepo, Margarita",Spring 2026,"This course will attempt to develop essential and critical listening faculties by employing a chronological survey of the elements, forms, and various types of music that the serious listener is exposed to today. The principal emphasis of the course will be on traditional Western art music from medieval Gregorian Chant to twentieth-century electronic music, but certain excursions into the world of non-Western musics, jazz, and American popular song will be included to diversify and enrich the experience of listening critically to music.",3,Devlin Hall 112 M WF 10:00AM -10:50AM,Arts,None,None,None,Undergraduate
MUSA1200.02,Introduction to Music,"Restrepo, Margarita",Spring 2026,"This course will attempt to develop essential and critical listening faculties by employing a chronological survey of the elements, forms, and various types of music that the serious listener is exposed to today. The principal emphasis of the course will be on traditional Western art music from medieval Gregorian Chant to twentieth-century electronic music, but certain excursions into the world of non-Western musics, jazz, and American popular song will be included to diversify and enrich the experience of listening critically to music.",3,Devlin Hall 112 M WF 11:00AM -11:50AM,Arts,None,None,None,Undergraduate
MUSA1200.03,Introduction to Music,"Watchorn, Peter",Spring 2026,"This course will attempt to develop essential and critical listening faculties by employing a chronological survey of the elements, forms, and various types of music that the serious listener is exposed to today. The principal emphasis of the course will be on traditional Western art music from medieval Gregorian Chant to twentieth-century electronic music, but certain excursions into the world of non-Western musics, jazz, and American popular song will be included to diversify and enrich the experience of listening critically to music.",3,Devlin Hall 112 M WF 01:00PM -01:50PM,Arts,None,None,None,Undergraduate
MUSA1200.04,Introduction to Music,"Watchorn, Peter",Spring 2026,"This course will attempt to develop essential and critical listening faculties by employing a chronological survey of the elements, forms, and various types of music that the serious listener is exposed to today. The principal emphasis of the course will be on traditional Western art music from medieval Gregorian Chant to twentieth-century electronic music, but certain excursions into the world of non-Western musics, jazz, and American popular song will be included to diversify and enrich the experience of listening critically to music.",3,Devlin Hall 112 M WF 03:00PM -03:50PM,Arts,None,None,None,Undergraduate
MUSA1200.05,Introduction to Music,"Callahan, Daniel",Spring 2026,"This course will attempt to develop essential and critical listening faculties by employing a chronological survey of the elements, forms, and various types of music that the serious listener is exposed to today. The principal emphasis of the course will be on traditional Western art music from medieval Gregorian Chant to twentieth-century electronic music, but certain excursions into the world of non-Western musics, jazz, and American popular song will be included to diversify and enrich the experience of listening critically to music.",3,Devlin Hall 112 TuTh 10:30AM -11:45AM,Arts,None,None,None,Undergraduate
MUSA1200.06,Introduction to Music,"Callahan, Daniel",Spring 2026,"This course will attempt to develop essential and critical listening faculties by employing a chronological survey of the elements, forms, and various types of music that the serious listener is exposed to today. The principal emphasis of the course will be on traditional Western art music from medieval Gregorian Chant to twentieth-century electronic music, but certain excursions into the world of non-Western musics, jazz, and American popular song will be included to diversify and enrich the experience of listening critically to music.",3,Lyons Hall 423 TuTh 01:30PM -02:45PM,Arts,None,None,None,Undergraduate
MUSA1200.07,Introduction to Music,"McGrann, Jeremiah W",Spring 2026,"This course will attempt to develop essential and critical listening faculties by employing a chronological survey of the elements, forms, and various types of music that the serious listener is exposed to today. The principal emphasis of the course will be on traditional Western art music from medieval Gregorian Chant to twentieth-century electronic music, but certain excursions into the world of non-Western musics, jazz, and American popular song will be included to diversify and enrich the experience of listening critically to music.",3,Lyons Hall 409 TuTh 03:00PM -04:15PM,Arts,None,None,None,Undergraduate
MUSA1300.01,History of Popular Music,"Daly Berman, Amanda E",Spring 2026,"From the blues to country, jazz to rock, our nation's political, social, and economic history has been mirrored and influenced by the styles of popular music developed in our cultural melting pot. This course will provide an overall history of popular music in America, with emphasis upon mainstream popular music since 1954. Its focus will be on the independence and interdependence of black and white musical cultures in America. Students will learn stylistic developments in popular music and acquire interpretive strategies, including methods of aural analysis that will view popular songs as historical texts and as autonomous works of art.",3,Lyons Hall 423 M WF 09:00AM -09:50AM,Arts,None,None,None,Undergraduate
MUSA1300.02,History of Popular Music,"Lindmark, Sarah",Spring 2026,"From the blues to country, jazz to rock, our nation's political, social, and economic history has been mirrored and influenced by the styles of popular music developed in our cultural melting pot. This course will provide an overall history of popular music in America, with emphasis upon mainstream popular music since 1954. Its focus will be on the independence and interdependence of black and white musical cultures in America. Students will learn stylistic developments in popular music and acquire interpretive strategies, including methods of aural analysis that will view popular songs as historical texts and as autonomous works of art.",3,Lyons Hall 423 TuTh 10:30AM -11:45AM,Arts,None,None,None,Undergraduate
MUSA1320.01,Introduction to Musics of the World,"Riordan, Ann E",Spring 2026,This course provides an introduction to selected music cultures from around the world. The main goal is to study the connections between music and various socio-cultural features and institutions; to become familiar with the features of major musical styles from the cultures studied; and to analyze and apply interdisciplinary concepts from the discipline of ethnomusicology. No specific musical training or background is required. Fulfills World M usic requirement in M ajor; fulfills x-cultural requirement in M inor. Satisfies Arts Core Requirement: takes into effect Spring 2026.,3,Lyons Hall 423 M WF 02:00PM -02:50PM,"Cultural Diversity,Arts",None,None,None,Undergraduate
MUSA1320.02,Introduction to Musics of the World,"Riordan, Ann E",Spring 2026,This course provides an introduction to selected music cultures from around the world. The main goal is to study the connections between music and various socio-cultural features and institutions; to become familiar with the features of major musical styles from the cultures studied; and to analyze and apply interdisciplinary concepts from the discipline of ethnomusicology. No specific musical training or background is required. Fulfills World M usic requirement in M ajor; fulfills x-cultural requirement in M inor. Satisfies Arts Core Requirement: takes into effect Spring 2026.,3,Lyons Hall 423 M WF 03:00PM -03:50PM,"Cultural Diversity,Arts",None,None,None,Undergraduate
MUSA1320.03,Introduction to Musics of the World,"Dineen, Douglass",Spring 2026,This course provides an introduction to selected music cultures from around the world. The main goal is to study the connections between music and various socio-cultural features and institutions; to become familiar with the features of major musical styles from the cultures studied; and to analyze and apply interdisciplinary concepts from the discipline of ethnomusicology. No specific musical training or background is required. Fulfills World M usic requirement in M ajor; fulfills x-cultural requirement in M inor. Satisfies Arts Core Requirement: takes into effect Spring 2026.,3,Lyons Hall 409 TuTh 10:30AM -11:45AM,"Cultural Diversity,Arts",None,None,None,Undergraduate
MUSA1320.04,Introduction to Musics of the World,"Dineen, Douglass",Spring 2026,This course provides an introduction to selected music cultures from around the world. The main goal is to study the connections between music and various socio-cultural features and institutions; to become familiar with the features of major musical styles from the cultures studied; and to analyze and apply interdisciplinary concepts from the discipline of ethnomusicology. No specific musical training or background is required. Fulfills World M usic requirement in M ajor; fulfills x-cultural requirement in M inor. Satisfies Arts Core Requirement: takes into effect Spring 2026.,3,Lyons Hall 423 TuTh 12:00 Noon-01:15PM,"Cultural Diversity,Arts",None,None,None,Undergraduate
SLAV2180.01,From Tsars to Soviets: A History of Russian Music,"Lin, Tony H",Spring 2026,"Formerly: ""From Russia with Love"".In this interdisciplinary course, students will become familiar with sounds and images that represent Russia's contribution to world culture and Russians live by, such as symphonies by Tchaikovsky and Shostakovich as well as paintings by Repin and Chagall. We will consider the artists' aesthetic convictions in the context of several important artistic movements (e.g., Romanticism, the Avant-Garde, and Socialist Realism). The class will take a trip to the Boston Symphony Orchestra, and each student will design a final project, which can be creative or performative. Formal musical training and/or the ability to read music, while helpful, are not prerequisites for the course.",3,Devlin Hall 112 M WF 09:00AM -09:50AM,Arts,None,None,None,Undergraduate
SLAV2181.01,Masterworks of Russian Art,"Kogan, Leon",Spring 2026,"This course will examine the development of Russian art from the M edieval period to the post- Soviet era, with a special focus on how art reflected and promoted the tumultuous changes in Russian society. We will survey a wide range of movements and styles, including Neoclassicism, Romanticism, Critical Realism, Suprematism, Constructivism, Socialist Realism, Nonconformist Art, and artistic groups such as the Wanderers, the World of Art, and M oscow Conceptualists. The course will offer a deep dive into the works of celebrated artists such as Bryullov, Repin, Vrubel, Goncharova, M alevich, Pirosmani, Kandinsky, Popova, Chagall, Petrov-Vodkin, Deineka, Komar and M elamid, analyzing their contributions within broader historical contexts.",3,Lyons Hall 202 TuTh 03:00PM -04:15PM,Arts,None,None,ARTH2181,Undergraduate
THTR1120.01,Elements of Dance,"Kim, Sun Ho",Spring 2026,"This course is designed to develop the student's knowledge and experience of dance as an art form. The elements of dance used in ballet, modern and jazz will be introduced along with the principles of composition. The aesthetics of dance as an art form will also be studied. Students will be reading texts as well as viewing dance works in live performance and on video. This course will provide a groundwork for students who wish to do further work in technique, composition, and performance.",3,Brighton Dance Studio;TuTh 12:00 Noon-01:15PM,Arts,None,None,None,Undergraduate
THTR1120.02,Elements of Dance,"Kim, Sun Ho",Spring 2026,"This course is designed to develop the student's knowledge and experience of dance as an art form. The elements of dance used in ballet, modern and jazz will be introduced along with the principles of composition. The aesthetics of dance as an art form will also be studied. Students will be reading texts as well as viewing dance works in live performance and on video. This course will provide a groundwork for students who wish to do further work in technique, composition, and performance.",3,Brighton Dance Studio;TuTh 02:00PM -03:15PM,Arts,None,None,None,Undergraduate
THTR1170.01,Introduction to Theatre,"Lueger, Michael J",Spring 2026,"This is a survey course for primarily non-majors. Its aim is to impart an appreciation of the theatre as an artistic and humanizing experience. There will be discussion of the various elements that contribute to the development of theatre as a specialized art form including historical and cultural influences, staging styles and techniques, and the multiple genres of dramatic writing. Several plays illustrating the above will be read and attendance at selected performances is required.",3,Gasson Hall 206 M WF 02:00PM -02:50PM,Arts,None,None,None,Undergraduate
THTR1170.02,Introduction to Theatre,"Cronin, Brian P",Spring 2026,"This is a survey course for primarily non-majors. Its aim is to impart an appreciation of the theatre as an artistic and humanizing experience. There will be discussion of the various elements that contribute to the development of theatre as a specialized art form including historical and cultural influences, staging styles and techniques, and the multiple genres of dramatic writing. Several plays illustrating the above will be read and attendance at selected performances is required.",3,Gasson Hall 301 M WF 11:00AM -11:50AM,Arts,None,None,None,Undergraduate
